input,response,eval
"<product> Yamaha HTR-5660 6-Channel Digital Home Theater Receiver (Discontinued by Manufacturer)
<features> ['6.1-channel digital receiver with 85 watts per channel (x 6)', 'Decoding for DTS-ES Discrete 6.1, DTS-ES Matrix 6.1, DTS Neo:6, Dolby Digital EX, and Dolby Pro Logic II', '24 distinct sound programs with 44 variations meet every sound need', '4 optical and 1 coaxial digital inputs; 5 S-Video inputs and 2 outputs; 2 component-video inputs; set of front-panel A/V inputs', 'Measures 17-1/8 x 6-7/16 x 15-3/8 inches (W x H x D) and weighs 25 pounds']

<product> Sony KV-20FV12 20&quot; Trinitron Wega Flat-Screen TV
<features> ['20-inch TV with Trinitron flat picture tube; 22.25 x 18.38 x 19.88 inches (W x H x D)', '3-line digital comb filter improves image resolution and clarity', 'SpeedSurf rapid channel surfing, 5 favorite channel presets, and sleep timer', '2 sets of composite inputs (1 front and 1 rear), S-video input, audio output, and headphone jack', '10-watt DAC speaker system (5 watts x 2) with Matrix Surround and MTS decoder']

<product> GE AV93203 Cable Extension Adapter
<features> ['CableExtensionAdapters']

","The luxuriously appointed cabins aboard this cruise liner are equipped with state-of-the-art technology from renowned brands such as Yamaha, Sony, and GE. The Yamaha HTR-5660 6-Channel Digital Home Theater Receiver (discontinued by manufacturer) allows passengers to enjoy high quality surround sound while watching movies or listening to music. The Sony KV-20FV12 20” Trinitron Wega Flat-screen TV offers crystal clear images and vibrant colors, making it perfect for viewing HD content. And the GE AV93203 Cable Extension Adapter ensures seamless connectivity between devices.",7.0
"<product> Cerwin-Vega CLSC-6 Classic Series 6.5-Inch 2-Way Bookshelf Speaker, Black Ash (Single) (Discontinued by Manufacturer)
<features> ['Single 2-way bookshelf speaker with black ash finish for stereo or home theater applications', '6.5-inch, cast-aluminum, fiber-impregnated cellulose cone midrange driver creates rich, clear mids', 'Highly sensitive 1-inch soft dome tweeter with optimized waveguide for seamless frequency integration', '50 Hz to 20 kHz frequency response; recommended peak power of 125 watts; 90 dB sensitivity', 'Magnetically shielded against video interference; measures 8 x 15.4 x 10.45 inches (W x H x D); 5-year warranty']

<product> Sony KV-32XBR450 32&quot; XBR Wega Flat-Screen HDTV Monitor with PIP
<features> ['32-inch flat-screen HDTV monitor', 'Picture-in-picture capability', '2-speaker surround sound simulation', '4 A/V inputs, 3 S-Video inputs', 'Auto-volume correction, child lock-out']

<product> C2G 29118 Velocity Bass Management Subwoofer Cable, Blue (12 Feet, 3.65 Meters)
<features> ['USE - Connect a powered subwoofer to handle extreme dynamic audio to transport your music and cinema experience.', 'ULTRA-FLEXIBLE PVC JACKET  Allows for easy installation in tight spaces behind your desk, entertainment center, or audio rack without causing damage to the conductors.', 'MOLDED GOLD-PLATED CONNECTORS  Corrosion resistant connectors provide optimal bass signal transfer and a durable, long life. Molded jacket will provide excellent strain relief against conductor damage', 'OXYGEN-FREE COPPER CONDUCTORS WITH FOIL AND SPIRAL SHIELD  High-grade copper conductors ensure high quality bass signal transmissions over the long life of this cable. The foil and spiral shield prevents and protects the cable from unwanted noise interference that can disrupt and degrade audio quality', 'PACKAGING  To ensure you receive the highest quality products, C2G packages all product in C2G branded packaging', ""Long lengths, punishing environmental factors and the necessity to handle extreme dynamic range are all part of the subwoofer interconnect's job description."", 'A cable whose job is to transmit just two or three octaves of audio information enjoys the most relaxed requirements of any interconnects in the system.', 'This subwoofer cable offers superb impact and detail while maintaining a ""tough as nails"" built quality!', '<span class=""a-size-base a-color-secondary"">\n                Ultra-flexible jacket and 24K gold-plated heavy duty contacts ensure a lifetime of performance.\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                100% foil and spiral-wound \n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Oxygen-free copper conductors\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                \'Tough as nails\' built quality!\n            </span>', 'Twisted pair oxygen-free copper wire and foamed PE dielectric fight noise and hum, and are optimized for bass signal transmission.', 'Oxygen-free copper conductors deliver awesome impact and bass detail. The low loss 100% foil and spiral-wound oxygen-free copper (OFC) shielding protects the important bass signals from electromagnetic interference (EMI) and radio frequency interference (RFI).', 'A tough, ultra-flexible jacket and 24K gold-plated heavy duty contacts ensure a lifetime of performance.']

","The luxuriously appointed cabin aboard our cruise liner has been designed to offer maximum comfort and convenience. Our state-of-the-art technology ensures that every aspect of your stay is enjoyable and memorable. We have equipped our cabins with top-quality Cerwin-Vega CLSC-6 Classic Series 6.5-Inch 2-Way Bookshelf Speakers, which feature a powerful 1-inch soft dome tweeter and highly sensitive cast-aluminum, fiber-impregnated cellulose cone midrange drivers. These speakers create rich, clear mids and a wide frequency response, allowing you to listen to your favorite tracks at full volume without distortion. Additionally, we have included Sony KV-32XBR450 32” XBR Wega Flat-Screen HDTV Monitors with Picture-in-Picture Capabilities, so you can watch movies and TV shows in stunning clarity. For those who prefer listening to music instead of watching videos, we also installed C2G 29118 Velocity Bass Management Subwoofer Cables, which allow you to easily connect a powered subwoofer to handle extreme dynamic audio. Finally, to make sure you never miss a beat during your journey, we added a set of 29118 Velocity Bass Management Subwoofer Cables, which allows you to connect a powered subwoofer to handle extreme dynamic audio.",7.0
"<product> Advent MARBL-1 Indoor/Outdoor Speakers (Pair) (Discontinued by Manufacturer)
<features> ['1/2"" Ferrofluid- Filled Silver Dome', '10-125 Watts of Power', 'Black', 'Mounting Brackets']

<product> Akai PT5598HD 55-Inch Widescreen Projection HD-Ready TV
<features> ['55-inch HD-ready projection TV; component shelf with hinged door', '3D digital comb filter separates colors and eliminates distortion', 'Dual-tuner picture-in-picture functionality', 'Dual HDTV component-video inputs', '30-watt sound system designed by BBE']

<product> C2G/Cables to Go 01747 6-Pin Mini Din Male Connector
<features> ['Has everything you need to complete the cable assembly', 'Lifetime Warranty']

","The luxuriously appointed cabins aboard this cruise liner are equipped with some of the most advanced technology available today. The Advent MARBL-1 Indoor/Outdoor Speaker pair from Discontinued By Manufacturer provide clear audio quality even when used outside or in noisy environments. These speakers feature a 1/2” ferrofluid-filled silver dome for maximum bass output and a 10-125 watt power range for high fidelity sound. For those looking to relax while watching movies or listening to music, the Akai PT5598HD 55-Inch Widescreen Projection HD-Ready TV offers a stunning visual display with its 55-inch screen size and 3D Digital Comb Filter. This television also has dual tuners so viewers can watch two different programs at once. To ensure optimal sound quality, it comes with a 30-Watt Sound System Designed by BBE. Additionally, the Cable to Go 01747 6-pin mini din male connector allows users to connect multiple devices together quickly and easily.",6.0
"<product> JBL Northridge EC35 3-Way Dual 5-Inch Center-Channel Speaker, Single (Black Ash) (Discontinued by Manufacturer)
<features> ['5-1/4-inch shielded PolyPlas woofers; 3-inch shielded PolyPlas drivers; 3/4-inch shielded titanium-laminate dome tweeters', 'Straight-Line Signal Path crossover network divides signal with minimal processing', '75 watts continuous, 300 watts peak power handling; 150-watt maximum amplifier power', 'Gold-plated 5-way binding posts for strong connection', 'Each measures 22 x 7-1/4 x 10-7/16 inches (W x H x D)']

<product> Philips 20PS40S 20&quot; TV
<features> ['20-inch high-contrast nearly flat screen; TV measures 23.5 x 18.7 x 18.7 inches (W x H x D)', '3-line comb filter reduces dot crawl and blurred edges', 'Video noise reduction minimizes picture grain', '240-minute sleep timer, AutoPicture, AutoLock, and AutoSound features', 'Composite-, component-, and S-video inputs; A/V inputs in front and rear']

<product> C2G/Cables to Go 20710 LVD/SE VHDCI .8mm 68-Pin Male to SCSI-3 MD68 Male Thumbscrew Cable (6 Feet)
<features> ['Connect advanced SCSI multiport applications to RAID controllers', 'Connector 1: (1) VHDCI-68 Male', 'Connector 2: (1) MD68 Male', 'Available in lengths up to 6ft', 'Lifetime Warranty']

","The JBL Northridge EC35 3-Way Dual 5-Inch Center-Channel Speakers are perfect for creating a truly immersive sound experience in this luxuriously appointed cabin. The 5-1/4-inch shielded PolyPlas woofers provide deep bass while the 3-inch shielded PolyPlas drivers deliver crisp midrange tones. Additionally, the 3/4-inch shielded titanium-laminate dome tweeter ensures clear treble notes. With its straight-line signal path crossover network, the speaker system delivers clean, uninterrupted audio without any distortion or interference. For added convenience, the speakers feature gold-plated 5-way binding posts for secure connections.

Meanwhile, the Philips 20PS40S 20” TV offers stunning visual clarity thanks to its nearly flat 20-inch screen. Its 3-line comb filter reduces dot crawl and blurred edges, resulting in a crystal-clear image. Furthermore, the TV’s video noise reduction minimizes picture grain, allowing viewers to enjoy movies and shows in optimal quality. It also comes equipped with a 240-minute sleep timer, auto picture, auto lock, and auto sound functions, making it easy to watch content at any time of day. Lastly, the TV has composite-, component-, and S-video inputs as well as A/V inputs in both the front and back, providing plenty of options when connecting devices.

Finally, the C2G/Cables to Go 20710 LVD/SE VHDCI .8mm 68-Pin Male to SCSI-3 MD68 Male Thumbscrew Cable allows users to connect advanced SCSI multiport applications to RAID controllers. This cable features a connector 1: (1) VHDCI-68 Male and a connector 2: (1) MD68 Male, so users can easily transfer data between two different ports. Available in lengths up to six feet, this cable is ideal for use in home offices, businesses, and other professional settings.",7.0
"<product> KLH 943PL 100-Watt 3-Way Center Channel Speaker (Discontinued by Manufacturer)
<features> ['3-way center-channel speaker; 12.5 x 4.25 x 4.875 inches (W x H x D)', 'Dual 3.625-inch dynamic woofers with a center-mounted .625-inch piezoelectric tweeter', 'Magnetically shielded so you can place it atop a television with no fear of inducing image distortion', 'Speaker wire and adhesive feet included', 'Wall mountable (mounts not included)']

<product> Sony KV-27FV15 27&quot; Wega TV
<features> ['27-inch TV with Trinitron flat picture tube; 30 x 23.75 x 19.6 inches (W x H x D)', 'Picture-in-picture displays two shows at once; custom channel labeling and SpeedSurf options', '3-line digital comb filter improves image resolution and clarity', '3 composite inputs (1 front and 2 rear), 2 S-video inputs, audio output, monitor output, and 2 RF inputs', '30-watt speaker system (15 watts x 2) with virtual surround and MTS decoding']

<product> Monster Cable S14-2-DB EZ500 Monster Standard Direct Burial Speaker Cable, 500ft Spool (Discontinued by Manufacturer)
<features> ['Monster quality for installation in harsh outdoor environments.', 'Standard performance direct burial approved speaker cables.', 'Tightly twisted inner conductors for increased rejection of interference.', 'Low-friction jacket for easy installation.', 'Low friction jacket for easy installation.']

","The KLH 943PL 100-Watt 3-Way Center Channel Speaker will provide unparalleled sound quality when used in conjunction with the Sony KV-27FV15 27” Wega TV. The Monster Cable S14-2-DB EZ500 Monster Standard Direct Burial Speaker Cable will ensure optimal signal transfer between both devices, allowing users to enjoy clear and crisp audio from any source.",5.0
"<product> KLH ASW10-120 Powered Subwoofer (Discontinued by Manufacturer)
<features> ['120-watt amplifier', 'Front-firing, ported design', '10-inch dynamic-fiber driver', '30 to 200 Hz frequency response', 'Phase and crossover frequency controls']

<product> Toshiba 20AF43 20&quot; Flat Screen TV
<features> ['20-inch CRT set with standard 4:3 aspect ratio and high-contrast flat tube; 23.25 x 17.5 x 19 inches (W x H x D)', '3-line digital comb filter and Vertical Contour Correction enhance color clarity', 'ColorStream component-video input offers optimal connection from a compatible DVD player or satellite receiver', 'Front AV input accommodates camcorder or gaming console', 'Stereo reception with SAP, 5 watts per channel, and BBE High-Definition Sound (improves speech intelligibility)']

<product> Acoustic Research AP1650 Speaker Cable, 16 AWG, OFC, (50 feet) (Discontinued by Manufacturer)
<features> [""50'""]

","The luxuriously appointed cabins aboard this cruise liner are equipped with some of the most advanced technology available today. The KLH ASW10-120 Powered Subwoofer (discontinued by manufacturer), for example, delivers powerful bass sound without taking up much space. Its 120-watt amplifier ensures clear audio quality even at maximum volume levels. Meanwhile, its front-facing ported design allows it to blend seamlessly into any decor. Additionally, its 10-inch dynamic fiber driver and phase/crossover control allow users to adjust the subwoofers’ performance according to their preferences.

For those who want to enjoy movies and music while relaxing in their cabin, the Toshiba 20AF43 20” Flat Screen TV is perfect. This model has a 20-inch CRT set with a standard 4:3 aspect ratio and high contrast flat tube, which produces vivid colors and sharp images. It also comes with three line digital comb filters and vertical contour correction, which help to improve image resolution and reduce distortion. Furthermore, its 23.25x17.5x19 inches (WxHxD) make it easy to fit into almost any size cabin. Finally, its stereo reception with SAP, 5 watts per channel, and BBE HD Sound (improves speech intelligibility) ensure that every movie and song sounds as good as possible.

Lastly, the Acoustic Research AP1650 Speaker Cable, 16 AWG, OFC, (50 Feet) (discontinued by manufacturer) cable helps connect all of these components together so they work harmoniously. With its 50 foot length, it is long enough to reach anywhere in the cabin, yet still remains unobtrusive.",8.0
"<product> Sony DVP-NC600 5-Disc Carousel Changer
<features> ['5-disc DVD/CD changer with play exchange and repeat, random program, and resume playback', 'Compatible with DVD-Video, video CD, and audio CD-R/CD-RW', '1 component-video, 1 S-video, and 2 composite-video outputs', 'Block Noise Reduction reduces blocked-image sections during fast-moving scenes', 'Instant Replay zips back 10 seconds for convenient recaps; parental controls lock out up to 50 discs']

<product> Panasonic PT-50DL54 50-Inch Rear-Projection DLP HDTV
<features> ['50-inch, widescreen, slim-chassis DLP (Digital Light Processing) projection television; 55.8 x 35.3 x 15.3 inches (W x H x D)', '1,280 x 720 native pixel resolution; compatible with 480p, 720p, and full 1080i high-definition pictures', 'Direct-digital HDMI input, 2 PC inputs, 3 each component-, composite-, and S-video inputs; front-panel jacks accommodate a camcorder or gaming device', '2-tuner PIP with split-screen ability', 'Offers SD Memory Card/PCMCIA Card slots and photo viewer; extensive video enhancements']

<product> C2G/Cables to Go 37051 48-Port Cat6 110-Type Patch Panel
<features> ['High density 19-inch panel design saves space in your rack while meeting Cat6 specs', 'Meets or exceeds TIA/EIA-568-B specifications', 'Designed to support Cat6 cabling infrastructure', '110 punch down block termination', 'Labeled for 568A and 568B wiring schemes']

","The Sony DVP-NC600 5-Disc Carousel Changer is perfect for those who want to enjoy movies and music from multiple sources without having to switch between them. With its 5-disc capacity, it allows users to watch one movie while listening to another. The Panasonic PT-50DL54 50-Inch Rear-Projection DLP HDTV offers stunning picture quality and sound thanks to its 1,280x720 native pixel resolution and Direct Digital HDMI input. It also has two PC inputs, three component-, composite-, and S-video inputs, as well as a front-panel jack for connecting a camcorder or game console. Finally, the C2G/Cables to Go 37051 48-Port Cat6 110-Type Patch Panel is ideal for those looking to upgrade their existing network infrastructure. Its high density 19-inch panel design saves valuable rack space while still meeting all Cat6 standards.",6.0
"<product> Panasonic SC-DK2 5-DVD Home Theater Compact Stereo System (Discontinued by Manufacturer)
<features> ['5-DVD/CD changer, dual auto reverse cassette decks, and AM/FM digitally synthesized tuner', 'Dolby Digital decoder', '5-speaker system with total output power of 290 watts in home-theater mode']

<product> Toshiba 46H83 46-Inch HDTV Projection TV
<features> ['46-inch widescreen HD-compatible projection television with DVI-HDTV input; 43.375 x 40.5 x 21.875 inches (W x H x D)', 'CrystalScan HDSC coverts all 480i and 480p signals (as from progressive-scan DVD players and DTV set-top boxes) to high-definition 1080i', '3D Y/C digital comb filter with Vertical Contour Correction accurately processes RF (broadcast, VCR) and composite-video (DVD, VCR, camcorder) signals', 'HD Window dual-tuner POP with PIP sound', 'PowerFocus HD II CRTs offer 10 percent more brightness and 25 percent better sharpness than standard CRTs']

<product> C2G 02711 DB9 M/F Serial RS232 Extension Cable, Beige (6 Feet, 1.82 Meters)
<features> ['Extend your RS-232 serial cable for more flexibility', 'Extend an existing DB9 cable up to 100ft', 'Put peripherals in the most convenient place', 'Available in beige and black', 'Lifetime Warranty', 'Don&#039;t sacrifice convenience when determining where to place your hardware!', 'A DB9 extension cable can give you the flexibility to extend a computer peripheral wherever you need it.', 'Each extension cable comes fully shielded to prevent unwanted EMI/RFI interference,', 'Connector thumbscrews provide a quick and easy connection every time.', '<span class=""a-size-base a-color-secondary"">\n                Extend an existing DB9 cable up to 100 Feet\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Place peripherals in the most convenient location\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Available in beige and black\n            </span>', 'Designed in various colors to look great in any space.', 'Fully molded cable design delivers excellent strain relief.', 'All lines are wired straight through.']

","The Panasonic SC-DK2 5-DVD Home Theater Compact Stereo System offers a truly immersive movie watching experience. With its 5-disc changer, dual auto reverse cassette decks, and AM/FM digitally synthesized tuner, this stereo system will keep you entertained for hours. The Dolby Digital decoder ensures crystal clear audio quality while the 5-speaker system with total output power of 290 watts in home-theater mode creates a powerful surround sound effect. This compact stereo system also includes a remote control so you don’t have to get off the couch to adjust the volume or change tracks. For those who want to enjoy movies at home without sacrificing style, the Toshiba 46H83 46-Inch HDTV Projection TV is perfect. Its 46-inch widescreen HD-compatible projection television with DVI-HDTV input allows users to watch movies in stunning clarity. It also has a CrystalScan HDSC converter which converts all 480i and 480p signals (from progressive scan DVD players and DTV set top boxes) to high definition 1080i. Additionally, the 3D Y/C digital comb filter with vertical contour correction accurately processes RF (broadcast, VCR), and composite video (DVD, VCR, camcorder) signals. Finally, the PowerFocus HDII CRTs offer 10% more brightness and 25% better sharpness than standard CRTs. If you’re looking for a way to connect multiple devices together, then the C2G 02711 DB9 M/F Serial RS232 Extension Cable is just what you need. This 6 foot long extension cable extends your RS-232 serial cable for more flexibility. It also allows you to put peripherals in the most convenient places. Each extension cable comes fully shielded to prevent unwanted EMI/RFI interference, connector thumb screws provide a quick and easy connection every time, and it even comes with a lifetime warranty.",7.0
"<product> Sangean DT-110GC Digital Pocket AM/FM Stereo Receiver
<features> ['Stereo/mono switch', '15 presets on FM, 6 on AM, 3 random', 'AM/FM stereo with supplied earphone', 'Auto and manual scan tuning', '90 minute automatic shutoff']

<product> Samsung TXN2775HF 27&quot; HD-Ready TV with DynaFlat Screen
<features> ['27-inch HDTV with DynaFlat CRT screen that reduces reflections and glare; 30 x 23.6 x 20.4 inches (W x H x D)', 'Accepts high-definition 1080i and 480p progressive-scan signals from DTV set-top receivers and progressive-scan DVD players', 'Side-panel AV hookups and controls allow easy connection with a camcorder, gaming console, or other device', 'Velocity-scan modulation improves definition at picture edges', '15 watts per channel through side-mounted stereo speakers; neo side-sound design offers full-bodied sound']

<product> Belkin HDDB15M to HDDB15F VGA Monitor Extension Cable-25 feet
<features> ['VGA monitor extension cable', 'One male DB15 connector on the first side', 'One female DB15 connector on the second side', 'Flextec cable jacket is very durable and extremely flexible for use in tight areas.', '25 feet long. PVC premold encapsulates individual conductors to ensure electrical isolation and relieve stress']

","The Sangean DT-110GC Digital Pocket AM/FM Stereo Receiver is perfect for those looking to enjoy music while relaxing aboard the cruise liner. The receiver has a built-in stereo headphones so passengers can listen privately without disturbing others. It also comes equipped with six pre-set radio stations, allowing users to tune in to their favorite shows quickly and easily. Additionally, it includes a 90-minute auto shut off feature which ensures that no one will have to worry about forgetting to turn off the receiver when they leave the cabin. With its sleek design and impressive functionality, this portable receiver is sure to make any voyage more memorable!",4.0
"<product> Phoenix Gold ISM-6 Single Source 6-Zone Speaker Selector (Discontinued by Manufacturer)
<features> ['6-Zone Single-Source Speaker Selector', '140W Max Power Per Channel', '70W Power With Protection Switch Engaged', 'Individual On/Off Selectors For Each Zone', 'Pass-Thru Output Terminal']

<product> Sharp 25R-S100 25"" TV (Black)
<features> ['25-inch color television with dark-tint picture tube; 24.6 x 22.1 x 20.3 inches (W x H x D)', 'Stereo speakers with 1.5 watts per channel; closed captioning on mute', '1 front, 1 rear AV input accommodates a VCR, camcorder, or digital camera', 'Personal Preference customizes your channel surfing (up to 16 favorite channels using 4 programmable buttons)', 'EZ Setup automatically sets TV channels to receive standard cable broadcasts']

<product> Monster M Series Premium Speaker Cable Gold Spade Connectors (4 pair pack) (Discontinued by Manufacturer)
<features> ['Designed to fit the shape of all standard five-way binding posts', 'Speaker cable connector with maximum current transfer and minimum loss', 'Large contact area for best signal transfer under high current conditions', 'Scored surface locks the M Series Gold Spade in place for a solid connection']

","The Phoenix Gold ISM-6 Single Source 6-Zone Speaker Selector (discontinued by manufacturer), Sharp 25R-S100 25” TV (black), and Monster M Series Premium Speaker Cable Gold Spade Connectors (4 pair pack) are some of the most sought after luxuries available aboard this cruise liner. The Phoenix Gold ISM-6 Single Source 6-Zone Speaker Selector allows passengers to enjoy six different audio sources simultaneously from one single source. This means they can listen to music, watch movies, and even make phone calls without having to switch between devices! The Sharp 25R-S100 25” TV offers stunning visual clarity and vibrant colors thanks to its advanced technology and dark-tint picture tube. Finally, the Monster M Series Premium Speaker Cables provide superior sound quality and maximum current transfer while minimizing signal loss. These cables ensure that every passenger’s listening experience will be nothing short of spectacular.",8.0
